X,gene_name,baseMean_AD_6M,baseMean_WT_6M,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Description
ENSMUSG00000053279,Aldh1a1,3926.936832,1302.801447,2203.40988,1.591219221,0.117872615,13.49948177,1.5748E-41,3.17782E-38,"aldehyde dehydrogenase family 1, subfamily A1 [Source:MGI Symbol;Acc:MGI:1353450]"
ENSMUSG00000034459,Ifit1,1272.011414,96.2768592,391.4330214,3.717524092,0.276103782,13.46422734,2.53961E-41,4.75868E-38,interferon-induced protein with tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:99450]
ENSMUSG00000074896,Ifit3,1453.774918,178.8501634,500.428422,3.019556437,0.224397015,13.45631284,2.82674E-41,4.94359E-38,interferon-induced protein with tetratricopeptide repeats 3 [Source:MGI Symbol;Acc:MGI:1101055]
ENSMUSG00000038375,Trp53inp2,13114.94502,8253.060487,10289.88905,0.668194499,0.050097607,13.33785253,1.39418E-40,2.28585E-37,transformation related protein 53 inducible nuclear protein 2 [Source:MGI Symbol;Acc:MGI:1915978]
ENSMUSG00000030605,Mfge8,3087.611794,5951.490374,4771.399845,-0.946932028,0.071432683,-13.25628524,4.14947E-40,6.40311E-37,milk fat globule-EGF factor 8 protein [Source:MGI Symbol;Acc:MGI:102768]
ENSMUSG00000037625,Cldn11,9230.016421,4153.285433,5546.378625,1.151840403,0.087075562,13.22805585,6.04303E-40,8.80705E-37,claudin 11 [Source:MGI Symbol;Acc:MGI:106925]
ENSMUSG00000064215,Ifi27,1948.71655,647.8955236,908.312389,1.586331463,0.119977901,13.22186375,6.56176E-40,9.05972E-37,"interferon, alpha-inducible protein 27 [Source:MGI Symbol;Acc:MGI:1277180]"
ENSMUSG00000026879,Gsn,4212.0795,1917.435429,2662.340833,1.134500453,0.08610839,13.17526032,1.21807E-39,1.59768E-36,gelsolin [Source:MGI Symbol;Acc:MGI:95851]
ENSMUSG00000035778,Ggta1,787.6316111,167.0064509,318.2367287,2.234105582,0.169761271,13.16027838,1.48538E-39,1.85552E-36,"glycoprotein galactosyltransferase alpha 1, 3 [Source:MGI Symbol;Acc:MGI:95704]"
ENSMUSG00000035929,H2-Q4,983.996402,106.4040972,345.4965579,3.207748784,0.243834465,13.15543634,1.58367E-39,1.88838E-36,"histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]"
ENSMUSG00000057596,Trim30d,438.8514903,44.16008756,146.3039625,3.312575784,0.252889328,13.09891487,3.33999E-39,3.80947E-36,tripartite motif-containing 30D [Source:MGI Symbol;Acc:MGI:3035181]
ENSMUSG00000024338,Psmb8,525.6680031,76.67765839,190.0076014,2.774293623,0.214661457,12.92404171,3.29375E-38,3.6002E-35,"proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7) [Source:MGI Symbol;Acc:MGI:1346527]"
ENSMUSG00000028268,Gbp3,1278.922783,175.7725692,456.8030811,2.859919423,0.222739485,12.83975056,9.81903E-38,1.03033E-34,guanylate binding protein 3 [Source:MGI Symbol;Acc:MGI:1926263]
ENSMUSG00000035208,Slfn8,409.4441797,38.60985999,135.5554705,3.394325078,0.264440913,12.8358545,1.03257E-37,1.04183E-34,schlafen 8 [Source:MGI Symbol;Acc:MGI:2672859]
ENSMUSG00000045932,Ifit2,1572.068576,498.0362233,763.5988182,1.657151712,0.129261009,12.82019782,1.26378E-37,1.22788E-34,interferon-induced protein with tetratricopeptide repeats 2 [Source:MGI Symbol;Acc:MGI:99449]
ENSMUSG00000030786,Itgam,1118.039805,279.3479232,494.4332456,1.999893188,0.158138825,12.6464402,1.1706E-36,1.09672E-33,integrin alpha M [Source:MGI Symbol;Acc:MGI:96607]
ENSMUSG00000024998,Plce1,1369.685715,545.035578,744.3257589,1.3294307,0.105397103,12.61354116,1.7782E-36,1.60853E-33,"phospholipase C, epsilon 1 [Source:MGI Symbol;Acc:MGI:1921305]"
ENSMUSG00000061232,H2-K1,5026.958511,767.2597713,1802.365593,2.711741389,0.215726103,12.57029793,3.07563E-36,2.68943E-33,"histocompatibility 2, K1, K region [Source:MGI Symbol;Acc:MGI:95904]"
ENSMUSG00000033192,Lpcat2,1378.487435,456.9294741,679.1981036,1.591489596,0.126714706,12.55962824,3.51983E-36,2.97857E-33,lysophosphatidylcholine acyltransferase 2 [Source:MGI Symbol;Acc:MGI:3606214]
ENSMUSG00000030111,A2m,728.3807019,48.30548004,219.4595563,3.914570208,0.313872793,12.47183667,1.06346E-35,8.71807E-33,alpha-2-macroglobulin [Source:MGI Symbol;Acc:MGI:2449119]
ENSMUSG00000062488,Ifit3b,539.746907,105.8131333,217.7763442,2.344545588,0.188051082,12.46759956,1.12154E-35,8.91555E-33,interferon-induced protein with tetratricopeptide repeats 3B [Source:MGI Symbol;Acc:MGI:3698419]
ENSMUSG00000030124,Lag3,2607.036506,310.4035341,863.8659195,3.069245834,0.249103329,12.32117551,6.96712E-35,5.22196E-32,lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]
ENSMUSG00000002332,Dhrs1,4573.582221,1931.493856,2522.908206,1.24354395,0.101553436,12.24521794,1.78198E-34,1.29852E-31,dehydrogenase/reductase (SDR family) member 1 [Source:MGI Symbol;Acc:MGI:1196314]
ENSMUSG00000038776,Ephx1,1800.045667,782.1448478,1029.384529,1.200920732,0.098233968,12.22510662,2.28282E-34,1.61852E-31,"epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]"
ENSMUSG00000040483,Xaf1,992.895045,253.1329964,411.8242869,1.968659545,0.16113346,12.21757132,2.50456E-34,1.729E-31,XIAP associated factor 1 [Source:MGI Symbol;Acc:MGI:3772572]
ENSMUSG00000004266,Ptpn6,608.9158501,145.5115991,259.1699874,2.062749404,0.16887732,12.21448446,2.60145E-34,1.74984E-31,"protein tyrosine phosphatase, non-receptor type 6 [Source:MGI Symbol;Acc:MGI:96055]"
ENSMUSG00000028270,Gbp2,1276.298679,113.8402533,408.2097356,3.483050561,0.285569934,12.1968392,3.23125E-34,2.11913E-31,guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]
ENSMUSG00000023341,Mx2,287.0824136,42.04694484,101.3199941,2.767177698,0.228833523,12.09253639,1.1566E-33,7.40027E-31,MX dynamin-like GTPase 2 [Source:MGI Symbol;Acc:MGI:97244]
ENSMUSG00000032554,Trf,1100.349038,377.3285734,502.5136622,1.54179955,0.127532934,12.0894227,1.20128E-33,7.50313E-31,transferrin [Source:MGI Symbol;Acc:MGI:98821]
ENSMUSG00000025492,Ifitm3,1493.575397,204.8174009,512.5157743,2.86295152,0.238345175,12.01178717,3.08114E-33,1.87971E-30,interferon induced transmembrane protein 3 [Source:MGI Symbol;Acc:MGI:1913391]
ENSMUSG00000033220,Rac2,427.2271912,85.39840325,166.9160284,2.316105526,0.194423379,11.91269041,1.01644E-32,6.06005E-30,Rac family small GTPase 2 [Source:MGI Symbol;Acc:MGI:97846]
ENSMUSG00000029561,Oasl2,2147.025606,133.6049404,641.4289801,4.003345583,0.33649784,11.89709148,1.22544E-32,7.14377E-30,2'-5' oligoadenylate synthetase-like 2 [Source:MGI Symbol;Acc:MGI:1344390]
ENSMUSG00000023249,Parp3,687.7994261,152.5899043,279.5658054,2.165388731,0.182413771,11.87075255,1.6795E-32,9.5779E-30,"poly (ADP-ribose) polymerase family, member 3 [Source:MGI Symbol;Acc:MGI:1891258]"
ENSMUSG00000046879,Irgm1,1688.299127,344.9700134,682.310337,2.289706961,0.194042506,11.80002779,3.90183E-32,2.13243E-29,immunity-related GTPase family M member 1 [Source:MGI Symbol;Acc:MGI:107567]
ENSMUSG00000030921,Trim30a,838.6072625,77.45452597,281.0740421,3.435852392,0.291947255,11.76874362,5.65606E-32,3.02807E-29,tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]
ENSMUSG00000058715,Fcer1g,943.5621423,250.0020108,399.5685141,1.914136591,0.163381408,11.71575526,1.05844E-31,5.5532E-29,"Fc receptor, IgE, high affinity I, gamma polypeptide [Source:MGI Symbol;Acc:MGI:95496]"
ENSMUSG00000022146,Osmr,1904.785708,164.4229373,618.1139472,3.533780892,0.301691372,11.71323152,1.09043E-31,5.60886E-29,oncostatin M receptor [Source:MGI Symbol;Acc:MGI:1330819]
ENSMUSG00000050063,Klk6,1763.033574,123.8776354,527.1096037,3.830830745,0.327762506,11.68782479,1.47106E-31,7.42122E-29,kallikrein related-peptidase 6 [Source:MGI Symbol;Acc:MGI:1343166]
ENSMUSG00000060802,B2m,12425.08318,2549.474355,5143.889711,2.284807924,0.195679311,11.67628765,1.68495E-31,8.33986E-29,beta-2 microglobulin [Source:MGI Symbol;Acc:MGI:88127]
ENSMUSG00000032596,Uba7,627.7910212,134.6491458,246.8051922,2.214443534,0.189893104,11.66152686,2.00416E-31,9.73613E-29,ubiquitin-like modifier activating enzyme 7 [Source:MGI Symbol;Acc:MGI:1349462]
ENSMUSG00000070327,Rnf213,4892.15085,868.8622178,1925.160613,2.492957125,0.214729669,11.60974699,3.67702E-31,1.7538E-28,ring finger protein 213 [Source:MGI Symbol;Acc:MGI:1289196]
ENSMUSG00000073411,H2-D1,6483.135199,1059.754566,2395.70734,2.612646916,0.225874155,11.56682543,6.06868E-31,2.84285E-28,"histocompatibility 2, D region locus 1 [Source:MGI Symbol;Acc:MGI:95896]"
ENSMUSG00000040253,Gbp7,1234.488834,225.440041,486.2605126,2.452672085,0.21247116,11.54355296,7.95693E-31,3.59886E-28,guanylate binding protein 7 [Source:MGI Symbol;Acc:MGI:2444421]
ENSMUSG00000037280,Galnt6,1602.406241,749.8348609,926.7549345,1.095230187,0.095255329,11.49783641,1.35264E-30,6.01419E-28,polypeptide N-acetylgalactosaminyltransferase 6 [Source:MGI Symbol;Acc:MGI:1891640]
ENSMUSG00000000628,Hk2,607.5730103,146.3252565,266.8916884,2.052212976,0.179262167,11.44810984,2.40329E-30,1.05076E-27,hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]
ENSMUSG00000023367,Tmem176a,1136.326332,406.2458243,592.0282276,1.483545098,0.12994197,11.41698176,3.43973E-30,1.47925E-27,transmembrane protein 176A [Source:MGI Symbol;Acc:MGI:1913308]
ENSMUSG00000021242,Npc2,3714.208595,1870.615185,2272.265829,0.988602694,0.086655303,11.40845007,3.7943E-30,1.60087E-27,NPC intracellular cholesterol transporter 2 [Source:MGI Symbol;Acc:MGI:1915213]
ENSMUSG00000069874,Irgm2,709.4515685,161.3996561,302.0520088,2.134676892,0.187132447,11.40730494,3.84457E-30,1.60087E-27,immunity-related GTPase family M member 2 [Source:MGI Symbol;Acc:MGI:1926262]
ENSMUSG00000025498,Irf7,1200.41736,68.12113639,355.0343874,4.134457976,0.363216726,11.38289535,5.08819E-30,2.0856E-27,interferon regulatory factor 7 [Source:MGI Symbol;Acc:MGI:1859212]
ENSMUSG00000022831,Hcls1,584.9898096,137.6348624,249.7346755,2.088464391,0.183650072,11.37197697,5.76665E-30,2.32733E-27,hematopoietic cell specific Lyn substrate 1 [Source:MGI Symbol;Acc:MGI:104568]
ENSMUSG00000034422,Parp14,1159.906406,154.2849724,428.8286729,2.909081474,0.256005583,11.36335171,6.36546E-30,2.53008E-27,"poly (ADP-ribose) polymerase family, member 14 [Source:MGI Symbol;Acc:MGI:1919489]"
ENSMUSG00000026173,Plcd4,2038.254706,969.4043752,1348.586591,1.071742823,0.094533364,11.33719117,8.5856E-30,3.36158E-27,"phospholipase C, delta 4 [Source:MGI Symbol;Acc:MGI:107469]"
ENSMUSG00000033355,Rtp4,556.6313407,64.60860336,188.2084041,3.10595295,0.274635972,11.30934496,1.17967E-29,4.55092E-27,receptor transporter protein 4 [Source:MGI Symbol;Acc:MGI:1915025]
ENSMUSG00000046718,Bst2,841.621083,68.17848751,259.7921945,3.621453902,0.320576894,11.29667787,1.36276E-29,5.18107E-27,bone marrow stromal cell antigen 2 [Source:MGI Symbol;Acc:MGI:1916800]
ENSMUSG00000030287,Itpr2,1796.930103,1194.391807,1378.344984,0.59034098,0.052271982,11.29364058,1.4107E-29,5.2867E-27,"inositol 1,4,5-triphosphate receptor 2 [Source:MGI Symbol;Acc:MGI:99418]"
ENSMUSG00000022548,Apod,15033.79917,4663.415617,6671.378848,1.688489842,0.149843343,11.26836739,1.88024E-29,6.75675E-27,apolipoprotein D [Source:MGI Symbol;Acc:MGI:88056]
ENSMUSG00000050335,Lgals3,556.2938465,10.04829435,146.2724995,5.788041974,0.513757333,11.26610095,1.92925E-29,6.83921E-27,"lectin, galactose binding, soluble 3 [Source:MGI Symbol;Acc:MGI:96778]"
ENSMUSG00000105504,Gbp5,892.6532942,138.9196077,333.6546206,2.681049867,0.238864675,11.22413711,3.10402E-29,1.07142E-26,guanylate binding protein 5 [Source:MGI Symbol;Acc:MGI:2429943]
ENSMUSG00000017830,Dhx58,301.4390319,53.99911076,115.144056,2.46807051,0.220340673,11.20115715,4.02442E-29,1.3535E-26,DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]
ENSMUSG00000040552,C3ar1,522.9621084,110.2345782,213.6339344,2.24522363,0.20115158,11.16184934,6.26741E-29,2.05516E-26,complement component 3a receptor 1 [Source:MGI Symbol;Acc:MGI:1097680]
ENSMUSG00000024066,Xdh,686.8614366,336.4712947,415.1142298,1.026153082,0.092052907,11.14742729,7.37067E-29,2.3871E-26,xanthine dehydrogenase [Source:MGI Symbol;Acc:MGI:98973]
ENSMUSG00000069516,Lyz2,1268.140944,181.575992,435.2002956,2.801742384,0.251375642,11.14563989,7.52018E-29,2.40581E-26,lysozyme 2 [Source:MGI Symbol;Acc:MGI:96897]
ENSMUSG00000021423,Ly86,1666.459893,266.2220703,619.9951527,2.644758512,0.237449543,11.13819165,8.17627E-29,2.58419E-26,lymphocyte antigen 86 [Source:MGI Symbol;Acc:MGI:1321404]
ENSMUSG00000000275,Trim25,993.8729291,340.887221,501.155095,1.54065048,0.139131677,11.07332644,1.69008E-28,5.21511E-26,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]
ENSMUSG00000015852,Fcrls,2066.849826,927.8902563,1185.352853,1.154892939,0.10430476,11.07229377,1.70968E-28,5.21511E-26,"Fc receptor-like S, scavenger receptor [Source:MGI Symbol;Acc:MGI:1933397]"
ENSMUSG00000078945,Naip2,278.7779123,41.8889208,103.5955462,2.729123393,0.247475773,11.02784069,2.80519E-28,8.36235E-26,"NLR family, apoptosis inhibitory protein 2 [Source:MGI Symbol;Acc:MGI:1298226]"
ENSMUSG00000026764,Kif5c,37836.36165,49002.86804,46350.16856,-0.373077658,0.033984294,-10.97794331,4.87905E-28,1.43811E-25,kinesin family member 5C [Source:MGI Symbol;Acc:MGI:1098269]
ENSMUSG00000024079,Eif2ak2,1340.088669,305.9184874,575.147659,2.130155713,0.194839281,10.93288632,8.02544E-28,2.33924E-25,eukaryotic translation initiation factor 2-alpha kinase 2 [Source:MGI Symbol;Acc:MGI:1353449]
ENSMUSG00000004040,Stat3,4434.028738,2065.479466,2708.722277,1.101713783,0.100928702,10.9157629,9.69122E-28,2.79373E-25,signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]
ENSMUSG00000047735,Samd9l,778.2456135,215.9066746,378.2045579,1.847671389,0.169511931,10.89994891,1.15322E-27,3.28831E-25,sterile alpha motif domain containing 9-like [Source:MGI Symbol;Acc:MGI:1343184]
ENSMUSG00000040747,Cd53,825.5485018,273.3817976,397.1359571,1.5924416,0.146190961,10.89288684,1.24626E-27,3.51539E-25,CD53 antigen [Source:MGI Symbol;Acc:MGI:88341]
ENSMUSG00000000682,Cd52,377.2334228,49.18022769,124.5959364,2.93486882,0.269636357,10.88454409,1.3658E-27,3.77149E-25,CD52 antigen [Source:MGI Symbol;Acc:MGI:1346088]
ENSMUSG00000026222,Sp100,587.1756876,130.6627654,251.8648655,2.166212999,0.199004263,10.88525929,1.35512E-27,3.77149E-25,nuclear antigen Sp100 [Source:MGI Symbol;Acc:MGI:109561]
ENSMUSG00000036887,C1qa,6146.005626,1259.358088,2452.503235,2.286735495,0.210351775,10.87100641,1.58443E-27,4.32963E-25,"complement component 1, q subcomponent, alpha polypeptide [Source:MGI Symbol;Acc:MGI:88223]"
ENSMUSG00000071637,Cebpd,849.872512,105.1347902,298.3639234,3.013853544,0.27757194,10.85791864,1.8287E-27,4.94559E-25,"CCAAT/enhancer binding protein (C/EBP), delta [Source:MGI Symbol;Acc:MGI:103573]"
ENSMUSG00000027315,Spint1,487.4601645,97.37500146,192.9462676,2.324847685,0.214745848,10.82604252,2.59113E-27,6.86598E-25,"serine protease inhibitor, Kunitz type 1 [Source:MGI Symbol;Acc:MGI:1338033]"
ENSMUSG00000030107,Usp18,498.2582491,33.7033155,149.0359058,3.87133052,0.358799684,10.78967093,3.85166E-27,1.01041E-24,ubiquitin specific peptidase 18 [Source:MGI Symbol;Acc:MGI:1344364]
ENSMUSG00000024621,Csf1r,10334.5617,4042.255674,5779.737302,1.354053388,0.125515945,10.78789943,3.92662E-27,1.01987E-24,colony stimulating factor 1 receptor [Source:MGI Symbol;Acc:MGI:1339758]
ENSMUSG00000074151,Nlrc5,592.788292,35.38519093,177.9001175,4.062049586,0.377742572,10.75348634,5.70632E-27,1.46759E-24,"NLR family, CARD domain containing 5 [Source:MGI Symbol;Acc:MGI:3612191]"
ENSMUSG00000026104,Stat1,1572.530655,395.6258929,685.3900664,1.989088786,0.185074813,10.74748507,6.08995E-27,1.55104E-24,signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]
ENSMUSG00000031207,Msn,4361.094803,1176.042983,2033.400684,1.890536022,0.17618929,10.73014157,7.34835E-27,1.83912E-24,moesin [Source:MGI Symbol;Acc:MGI:97167]
ENSMUSG00000109408,A930037H05Rik,766.9327303,256.7916265,395.1681785,1.575412511,0.146823438,10.72997973,7.36123E-27,1.83912E-24,RIKEN cDNA A930037H05 gene [Source:MGI Symbol;Acc:MGI:1925689]
ENSMUSG00000038507,Parp12,1246.104257,491.9000328,646.1651576,1.33934339,0.124909668,10.72249579,7.98199E-27,1.97539E-24,"poly (ADP-ribose) polymerase family, member 12 [Source:MGI Symbol;Acc:MGI:2143990]"
ENSMUSG00000079017,Ifi27l2a,412.3478291,8.904549081,110.1103605,5.499969728,0.513241785,10.71613786,8.54994E-27,2.09617E-24,"interferon, alpha-inducible protein 27 like 2A [Source:MGI Symbol;Acc:MGI:1924183]"
ENSMUSG00000039323,Igfbp2,4088.234258,764.5451199,1636.522288,2.418173462,0.225711904,10.71353978,8.79339E-27,2.1359E-24,insulin-like growth factor binding protein 2 [Source:MGI Symbol;Acc:MGI:96437]
ENSMUSG00000005087,Cd44,1276.69956,143.3471645,434.7291403,3.154667545,0.29455834,10.70982253,9.15371E-27,2.19277E-24,CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]
ENSMUSG00000009585,Apobec3,626.6458108,153.165914,274.8727022,2.034048226,0.189930955,10.7094087,9.19472E-27,2.19277E-24,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide 3 [Source:MGI Symbol;Acc:MGI:1933111]"
ENSMUSG00000030793,Pycard,434.1984405,117.2956812,192.3618486,1.885237602,0.176157686,10.70198891,9.96167E-27,2.35428E-24,PYD and CARD domain containing [Source:MGI Symbol;Acc:MGI:1931465]
ENSMUSG00000022218,Tgm1,393.1657786,5.08019798,103.5024681,6.251475135,0.584455392,10.69623999,1.05992E-26,2.48259E-24,"transglutaminase 1, K polypeptide [Source:MGI Symbol;Acc:MGI:98730]"
ENSMUSG00000036896,C1qc,5235.54155,1180.332428,2154.470856,2.149017585,0.200951914,10.69418816,1.08364E-26,2.51569E-24,"complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]"
ENSMUSG00000046186,Cd109,439.8755124,41.17948622,140.3923293,3.413678199,0.319249316,10.69282853,1.09965E-26,2.53045E-24,CD109 antigen [Source:MGI Symbol;Acc:MGI:2445221]
ENSMUSG00000072620,Slfn2,413.0443784,39.19463619,138.4185915,3.39699072,0.317914279,10.6852411,1.19339E-26,2.72227E-24,schlafen 2 [Source:MGI Symbol;Acc:MGI:1313258]
ENSMUSG00000028037,Ifi44,337.4690678,19.19802095,100.7125851,4.125901752,0.386296166,10.6806697,1.25364E-26,2.83506E-24,interferon-induced protein 44 [Source:MGI Symbol;Acc:MGI:2443016]
ENSMUSG00000003283,Hck,377.4694146,65.90181264,143.7274869,2.512081844,0.23528385,10.67681376,1.3068E-26,2.93003E-24,hemopoietic cell kinase [Source:MGI Symbol;Acc:MGI:96052]
ENSMUSG00000020641,Rsad2,483.2986813,56.10678433,162.1708555,3.096673341,0.290164734,10.67212164,1.37451E-26,3.05573E-24,radical S-adenosyl methionine domain containing 2 [Source:MGI Symbol;Acc:MGI:1929628]
ENSMUSG00000029298,Gbp9,606.942505,181.0219143,294.6111164,1.745981003,0.163636185,10.66989554,1.40785E-26,3.10353E-24,guanylate-binding protein 9 [Source:MGI Symbol;Acc:MGI:3605620]
ENSMUSG00000036854,Hspb6,462.4747918,190.0203335,262.8688776,1.280417118,0.120515322,10.62451722,2.29195E-26,5.01039E-24,"heat shock protein, alpha-crystallin-related, B6 [Source:MGI Symbol;Acc:MGI:2685325]"
ENSMUSG00000026288,Inpp5d,1736.038107,690.2603071,944.2047714,1.330289928,0.125559624,10.59488616,3.14724E-26,6.82326E-24,inositol polyphosphate-5-phosphatase D [Source:MGI Symbol;Acc:MGI:107357]
ENSMUSG00000038642,Ctss,11622.07597,2192.661377,4448.883365,2.406089497,0.227380078,10.58179553,3.61954E-26,7.78291E-24,cathepsin S [Source:MGI Symbol;Acc:MGI:107341]
ENSMUSG00000020914,Top2a,314.1210782,64.91551631,129.7607164,2.268139297,0.214384544,10.5797706,3.69863E-26,7.8883E-24,topoisomerase (DNA) II alpha [Source:MGI Symbol;Acc:MGI:98790]
ENSMUSG00000022488,Nckap1l,2014.291869,540.6790718,934.6432097,1.896641403,0.17942246,10.57081371,4.06948E-26,8.60925E-24,NCK associated protein 1 like [Source:MGI Symbol;Acc:MGI:1926063]
ENSMUSG00000046805,Mpeg1,5744.340036,1320.192341,2470.464082,2.121264072,0.20078979,10.56460129,4.34812E-26,9.12515E-24,macrophage expressed gene 1 [Source:MGI Symbol;Acc:MGI:1333743]
ENSMUSG00000021665,Hexb,10023.47318,3980.691096,5462.883808,1.332192869,0.126311624,10.54687465,5.2515E-26,1.08474E-23,hexosaminidase B [Source:MGI Symbol;Acc:MGI:96074]
ENSMUSG00000043279,Trim56,1059.850217,434.4477915,601.6753129,1.285449404,0.121911527,10.54411701,5.40784E-26,1.09972E-23,tripartite motif-containing 56 [Source:MGI Symbol;Acc:MGI:2685298]
ENSMUSG00000026896,Ifih1,800.9023383,244.5584659,390.6561727,1.708404834,0.162381992,10.52090084,6.92087E-26,1.39658E-23,interferon induced with helicase C domain 1 [Source:MGI Symbol;Acc:MGI:1918836]
ENSMUSG00000097415,AU020206,801.7928619,134.5884319,297.2029635,2.573001661,0.244610709,10.51876129,7.07982E-26,1.41775E-23,expressed sequence AU020206 [Source:MGI Symbol;Acc:MGI:2142134]
ENSMUSG00000032690,Oas2,555.3754973,26.8930476,160.7655121,4.360552354,0.414681094,10.51543564,7.33411E-26,1.45754E-23,2'-5' oligoadenylate synthetase 2 [Source:MGI Symbol;Acc:MGI:2180852]
ENSMUSG00000029810,Tmem176b,1814.723487,739.5191496,978.0068954,1.293975048,0.123068424,10.51427335,7.4251E-26,1.46453E-23,transmembrane protein 176B [Source:MGI Symbol;Acc:MGI:1916348]
ENSMUSG00000010358,Ifi35,258.5810888,56.82964984,108.5372566,2.177685559,0.20738614,10.50063209,8.58036E-26,1.67977E-23,interferon-induced protein 35 [Source:MGI Symbol;Acc:MGI:1917360]
ENSMUSG00000041515,Irf8,906.5704373,201.5502934,384.8259217,2.168231767,0.206578507,10.49592137,9.01934E-26,1.75263E-23,interferon regulatory factor 8 [Source:MGI Symbol;Acc:MGI:96395]
ENSMUSG00000037921,Ddx60,478.7872381,45.87831916,152.0251032,3.374591158,0.321548038,10.4948274,9.12443E-26,1.76001E-23,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [Source:MGI Symbol;Acc:MGI:2384570]
ENSMUSG00000004730,Adgre1,1031.191449,235.7695284,429.6889234,2.127770201,0.203352489,10.46345785,1.2713E-25,2.4343E-23,adhesion G protein-coupled receptor E1 [Source:MGI Symbol;Acc:MGI:106912]
ENSMUSG00000028583,Pdpn,1279.721292,275.7380827,519.8479622,2.213004585,0.21153978,10.46141102,1.29907E-25,2.46945E-23,podoplanin [Source:MGI Symbol;Acc:MGI:103098]
ENSMUSG00000036908,Unc93b1,2013.855846,577.9317378,915.781506,1.800594821,0.172623197,10.43078135,1.79407E-25,3.38589E-23,"unc-93 homolog B1, TLR signaling regulator [Source:MGI Symbol;Acc:MGI:1859307]"
